Grade	ID	BusinessName	count_3	count_2	count_1	LICSTATUS	EXPDTTM	LICENSENO	Address	City	State	ZIP
A	2368	Pier 6 Restaurant	1	0	8	Active	12/31/2015 23:59	98129	1  Eighth St	Charlestown	MA	2129
B	2369	Pikaichi	2	0	5	Active	12/31/2015 23:59	74904	1   Brighton AV	Allston	MA	2134
F	2370	Pin Bochinche Restaurant	31	12	151	Active	12/31/2015 23:59	30908	3160   Washington ST	Jamaica Plain	MA	2130
C	2371	Pinkberry	5	0	11	Active	12/31/2014 23:59	73671	288   Newbury ST	Boston	MA	2115
B	2372	Pinkberry	3	0	3	Active	12/31/2014 23:59	83434	700   Atlantic AV	Boston	MA	2110
D	2373	Pinkberry	3	5	20	Active	12/31/2014 23:59	75052	800   BOYLSTON ST	BOSTON	MA	2199
A	2374	Pinkberry (TRMNL C Pier B Side)	0	0	2	Active	12/31/2015 23:59	81094	300   Terminal RD	East Boston/	MA	2128
C	2375	Pino's Pizza House	4	2	8	Active	12/31/2015 23:59	18067	1918   Beacon ST	Brighton	MA	2135
C	2376	Piperi Restaurant	4	2	20	Active	12/31/2015 23:59	80872	1   Beacon ST	Boston	MA	2108
D	2377	Pit Stop Barbecue	9	3	33	Active	12/31/2015 23:59	30013	888   Morton ST	Mattapan		2126
D	2378	Pita Kabob	6	0	12	Active	12/31/2014 23:59	26684	1  Avenue De Lafayette	Boston	MA	2111
A	2379	Pita Thyme	0	0	1	Active	12/31/2015 23:59	81048	112   Water ST	Boston	MA	2109
B	2380	Pizza 10	0	1	1	Active	12/31/2014 23:59	31652	4   YAWKEY WA	BOSTON	MA	2115
B	2381	Pizza 24	2	0	31	Active	12/31/2014 23:59	33080	301   Adams ST	Dorchester	MA	2122
F	2382	Pizza Days	16	1	28	Active	12/31/2015 23:59	68671	101   Brighton AV	Allston	MA	2134
B	2383	Pizza E.T.C.	2	0	11	Active	12/31/2015 23:59	33165	427   Faneuil ST	Brighton	MA	2135
B	2384	Pizza Hut	2	1	22	Active	12/31/2015 23:59	29199	950   HYDE PARK  AV	HYDE PARK	MA	2136
A	2385	Pizza Stop	0	0	13	Inactive	12/31/2012 23:59	31830	851   HARRISON AV	BOSTON	MA	2118
C	2386	Pizza Stop	5	2	70	Active	12/31/2015 23:59	98122	851   Harrison AV	Roxbury	MA	2118
B	2387	Pizzanini	4	0	12	Active	12/31/2014 23:59	20843	60   Washington ST	Brighton	MA	2135
D	2388	Pizzatalia	3	4	28	Active	12/31/2015 23:59	21889	618   Shawmut AV	Roxbury	MA	2118
A	2389	Pizzeria 260	1	0	6	Inactive	12/31/2015 23:59	81265	260 W BROADWAY	South Boston/	MA	2127
A	2390	Pizzeria 260	1	0	4	Active	12/31/2015 23:59	138142	260 W Broadway	South Boston	MA	2127
C	2391	Pizzeria Regina	1	2	25	Active	12/31/2015 23:59	25769	11H   Thacher ST	Boston	MA	2113
A	2392	Players Club	0	0	4	Active	12/31/2014 23:59	22133	4   Yawkey WY	Boston	MA	2115
F	2393	Plaza Deli	23	0	93	Inactive	12/31/2012 23:59	20617	2   CENTER PLAZA	BOSTON	MA	2108
C	2394	Pleasant Cafe	2	2	26	Active	12/31/2015 23:59	18333	4511  Washington St	Roslindale	MA	2131
A	2395	Pollo Campero	0	0	5	Inactive	12/31/2010 0:00	32976	184   Border ST	East Boston	MA	2128
C	2396	Pollo Campero	1	2	21	Active	12/31/2015 23:59	74861	188   Border ST	East Boston	MA	2128
D	2397	Pollos A La Brasa Beto's	6	1	31	Active	12/31/2015 23:59	17611	69   Bennington ST	East Boston	MA	2128
D	2398	Pollos Mr Mario	8	2	19	Inactive	12/31/2011 23:59	31848	30   Bennington ST	East BOSTON	MA	2128
D	2399	Pomodoros Italian Kitchen	8	5	42	Inactive	12/31/2013 23:59	74984	239   Grove ST	West Roxbury	MA	2132
C	2400	Popeyes	0	2	9	Active	12/31/2015 23:59	68844	645   Beacon ST	Boston	MA	2215
A	2401	Popeyes Chicken & Biscuit	0	0	10	Active	12/31/2015 23:59	33219	690   American Legion HW	Roslindale	MA	2131
A	2402	Popeyes Louisanna Kitchen	0	0	4	Active	12/31/2015 23:59	75222	330   Martin Luther King Jr BL	Roxbury	MA	2119
A	2403	Portofinos Italian Kitchen	0	0	2	Inactive	12/31/2014 23:59	83695	71   Broad ST	Boston	MA	2109
C	2404	Post 390	2	2	23	Active	12/31/2015 23:59	31890	406  Stuart St	Boston	MA	2116
A	2405	Potbelly Sandwich Shop	1	0	5	Active	12/31/2015 23:59	78086	300   Terminal RD	East Boston/	MA	2128
B	2406	Potbelly Sandwich Shop (275 Washington St.)	2	0	1	Active	12/31/2015 23:59	78517	275   Washington ST	Boston	MA	2108
